GII.rank,Country,GII,Mat.Mor,Ado.Birth,Parli.F,Edu2.F,Edu2.M,Labo.F,Labo.M,Edu2.FM,Labo.FM,HDI.rank,HDI,Life.Exp,Edu.Exp,Edu.mean,GNI,GNI.HDI
1,Norway,0.067,4,7.8,39.6,97.4,96.7,61.2,68.7,1.0072388831437435,0.8908296943231441,1,0.944,81.6,17.5,12.6,64992,5
2,Australia,0.11,6,12.1,30.5,94.3,94.6,58.8,71.8,0.9968287526427062,0.8189415041782729,2,0.935,82.4,20.2,13,42261,17
3,Switzerland,0.028,6,1.9,28.5,95,96.6,61.8,74.9,0.9834368530020704,0.8251001335113484,3,0.93,83,15.8,12.8,56431,6
4,Denmark,0.048,5,5.1,38,95.5,96.6,58.7,66.4,0.9886128364389235,0.8840361445783133,4,0.923,80.2,18.7,12.7,44025,11
5,Netherlands,0.062,6,6.2,36.9,87.7,90.5,58.5,70.6,0.969060773480663,0.8286118980169972,5,0.922,81.6,17.9,11.9,45435,9
6,Germany,0.041,7,3.8,36.9,96.3,97,53.6,66.4,0.9927835051546392,0.8072289156626505,6,0.916,80.9,16.5,13.1,43919,11
6,Ireland,0.113,9,8.2,19.9,80.5,78.6,53.1,68.1,1.024173027989822,0.7797356828193833,6,0.916,80.9,18.6,12.2,39568,16
8,United States,0.28,28,31,19.4,95.1,94.8,56.3,68.9,1.0031645569620253,0.8171262699564585,8,0.915,79.1,16.5,12.9,52947,3
9,Canada,0.129,11,14.5,28.2,100,100,61.6,71,1,0.867605633802817,9,0.913,82,15.9,13,42155,11
9,New Zealand,0.157,8,25.3,31.4,95,95.3,62,73.8,0.9968520461699896,0.8401084010840109,9,0.913,81.8,19.2,12.5,32689,23
11,Singapore,0.088,6,6,25.3,74.1,81,58.8,77.2,0.9148148148148147,0.7616580310880828,11,0.912,83,15.4,10.6,76628,-7
12,"Hong Kong, China (SAR)",NA,NA,3.3,NA,72.2,79.2,51.3,67.8,0.9116161616161617,0.7566371681415929,12,0.91,84,15.6,11.2,53959,-2
13,Liechtenstein,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,13,0.908,80,15,11.8,79851,-10
